timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687726770660,3938,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,588,3,3,http://172.31.30.61:8000,3934,0,38
1687726770660,3930,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,3930,0,30
1687726770664,3934,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3934,0,31
1687726773976,3305,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3305,0,2
1687726774043,3373,HTTP Request,200,OK,Thread Group 1-3,text,true,,348,588,3,3,http://172.31.30.61:8000,3373,0,2
1687726774142,3472,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,3472,0,3
1687726777288,3310,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3310,0,1
1687726777424,3379,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,588,3,3,http://172.31.30.61:8000,3379,0,1
1687726777634,3490,HTTP Request,200,OK,Thread Group 1-1,text,true,,348,588,3,3,http://172.31.30.61:8000,3489,0,2
1687726780675,3386,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3386,0,1
1687726780799,3374,HTTP Request,200,OK,Thread Group 1-3,text,true,,348,588,3,3,http://172.31.30.61:8000,3374,0,1
1687726780992,3358,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,3358,0,1
1687726783927,3251,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3251,0,1
1687726784155,3355,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,3355,0,2
1687726784465,3472,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,3472,0,1
1687726787437,3509,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3509,0,1
1687726787442,3286,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,588,3,3,http://172.31.30.61:8000,3286,0,1
1687726787802,3336,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,3336,0,2
1687726790755,3311,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,588,3,3,http://172.31.30.61:8000,3311,0,4
1687726790802,3364,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3364,0,3
1687726791178,3375,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,3375,0,3
1687726793989,3186,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,588,3,3,http://172.31.30.61:8000,3186,0,1
1687726794102,3346,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,3346,0,1
1687726794719,3541,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,3541,0,1
1687726797076,3088,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,3088,0,2
1687726797663,3561,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,3561,0,1
1687726797913,3194,HTTP Request,200,OK,Thread Group 1-1,text,true,,348,588,3,3,http://172.31.30.61:8000,3194,0,1
1687726800277,3200,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,588,3,3,http://172.31.30.61:8000,3200,0,1
1687726800954,3290,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,3290,0,1
1687726804077,6163,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,588,3,3,http://172.31.30.61:8000,6163,0,1
1687726806501,6223,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,588,3,3,http://172.31.30.61:8000,6223,0,1
1687726806885,5929,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,5928,0,1
1687726811089,4204,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,4204,0,1
1687726811242,7164,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,588,3,3,http://172.31.30.61:8000,7164,0,14
1687726812758,6256,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,588,3,3,http://172.31.30.61:8000,6256,0,1
1687726813238,2148,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,2148,0,1
1687726815217,1978,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,588,3,3,http://172.31.30.61:8000,1977,0,2
1687726816445,5202,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,588,3,3,http://172.31.30.61:8000,5202,0,1
