timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687120682157,10756,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,10743,0,35
1687120682158,10747,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,10731,0,25
1687120682158,10755,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,10741,0,33
1687120682157,10754,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,5,5,http://172.31.82.187:8000/,10751,0,34
1687120682155,10752,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,5,5,http://172.31.82.187:8000/,10745,0,31
1687120691251,9077,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,9077,0,7
1687120691548,9371,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,9370,0,2
1687120691719,9542,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,5,5,http://172.31.82.187:8000/,9542,0,1
1687120691791,9617,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,9617,0,4
1687120691806,9633,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,5,5,http://172.31.82.187:8000/,9633,0,8
1687120699270,8018,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8018,0,2
1687120700017,8469,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,8469,0,1
1687120701203,9483,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,5,5,http://172.31.82.187:8000/,9483,0,1
1687120701452,9645,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,5,5,http://172.31.82.187:8000/,9645,0,1
1687120701566,9774,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,9774,0,1
1687120707703,8431,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8431,0,1
1687120708909,8891,HTTP Request,200,OK,Thread Group 1-4,text,true,,349,589,5,5,http://172.31.82.187:8000/,8891,0,1
1687120710536,9331,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,5,5,http://172.31.82.187:8000/,9331,0,1
1687120711189,9735,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,5,5,http://172.31.82.187:8000/,9735,0,0
1687120711293,9725,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,9725,0,3
1687120716572,8868,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8868,0,1
1687120717715,8805,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,8805,0,1
1687120719998,9461,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,5,5,http://172.31.82.187:8000/,9461,0,1
1687120720491,9301,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,5,5,http://172.31.82.187:8000/,9301,0,1
1687120720789,9495,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,9495,0,4
1687120725294,8723,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8722,0,1
1687120726297,8582,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,8582,0,1
1687120729381,9383,HTTP Request,200,OK,Thread Group 1-2,text,true,,349,589,5,5,http://172.31.82.187:8000/,9383,0,1
1687120729577,9086,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,5,5,http://172.31.82.187:8000/,9086,0,1
1687120730160,9371,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,9371,0,1
1687120733997,8703,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8702,0,1
1687120734922,8624,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,8624,0,2
1687120738683,9301,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,5,5,http://172.31.82.187:8000/,9301,0,1
1687120738947,9369,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,5,5,http://172.31.82.187:8000/,9369,0,1
1687120739138,8977,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,8977,0,1
1687120742551,8553,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8552,0,1
1687120743435,8512,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,8512,0,1
1687120747859,9174,HTTP Request,200,OK,Thread Group 1-2,text,true,,348,589,5,5,http://172.31.82.187:8000/,9174,0,1
1687120748748,9608,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,5,5,http://172.31.82.187:8000/,9607,0,1
1687120748754,9806,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,5,5,http://172.31.82.187:8000/,9806,0,1
1687120751173,8622,HTTP Request,200,OK,Thread Group 1-5,text,true,,350,589,5,5,http://172.31.82.187:8000/,8621,0,2
1687120752047,8612,HTTP Request,200,OK,Thread Group 1-4,text,true,,350,589,5,5,http://172.31.82.187:8000/,8612,0,2
