timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687123849017,5223,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.91.151:8000/,5219,0,31
1687123849462,5672,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,3,3,http://172.31.91.151:8000/,5672,0,37
1687123849470,5672,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.91.151:8000/,5672,0,29
1687123854016,4994,HTTP Request,200,OK,Thread Group 1-3,text,true,,349,589,3,3,http://172.31.91.151:8000/,4993,0,1
1687123855078,5607,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.91.151:8000/,5607,0,1
1687123855253,5790,HTTP Request,200,OK,Thread Group 1-1,text,true,,349,589,3,3,http://172.31.91.151:8000/,5790,0,1
1687123859351,5334,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.91.151:8000/,5334,0,1
1687123860539,5460,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.91.151:8000/,5460,0,1
1687123860772,5518,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.91.151:8000/,5518,0,1
1687123864795,5442,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.91.151:8000/,5442,0,3
1687123866148,5608,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.91.151:8000/,5608,0,1
1687123866385,5612,HTTP Request,200,OK,Thread Group 1-1,text,true,,350,589,3,3,http://172.31.91.151:8000/,5612,0,1
1687123870201,5404,HTTP Request,200,OK,Thread Group 1-3,text,true,,350,589,3,3,http://172.31.91.151:8000/,5404,0,1
1687123871857,5707,HTTP Request,200,OK,Thread Group 1-2,text,true,,350,589,3,3,http://172.31.91.151:8000/,5707,0,1
