timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687124323205,13010,HTTP Request,200,OK,Thread Group 1-7,text,true,,153,589,10,10,http://172.31.82.187:8000/,13006,0,35
1687124327125,16930,HTTP Request,200,OK,Thread Group 1-2,text,true,,153,589,10,10,http://172.31.82.187:8000/,16930,0,33
1687124327139,16948,HTTP Request,200,OK,Thread Group 1-5,text,true,,153,589,10,10,http://172.31.82.187:8000/,16947,0,37
1687124327148,16952,HTTP Request,200,OK,Thread Group 1-6,text,true,,153,589,10,10,http://172.31.82.187:8000/,16952,0,32
1687124327152,16957,HTTP Request,200,OK,Thread Group 1-3,text,true,,153,589,10,10,http://172.31.82.187:8000/,16957,0,33
1687124327157,16962,HTTP Request,200,OK,Thread Group 1-8,text,true,,153,589,10,10,http://172.31.82.187:8000/,16962,0,35
1687124327182,16987,HTTP Request,200,OK,Thread Group 1-1,text,true,,153,589,10,10,http://172.31.82.187:8000/,16987,0,33
1687124327201,16998,HTTP Request,200,OK,Thread Group 1-10,text,true,,153,589,10,10,http://172.31.82.187:8000/,16998,0,25
1687124327212,17022,HTTP Request,200,OK,Thread Group 1-9,text,true,,153,589,10,10,http://172.31.82.187:8000/,17022,0,38
1687124327222,17027,HTTP Request,200,OK,Thread Group 1-4,text,true,,153,589,10,10,http://172.31.82.187:8000/,17027,0,33
1687124339580,12455,HTTP Request,200,OK,Thread Group 1-2,text,true,,153,589,10,10,http://172.31.82.187:8000/,12455,0,1
1687124339595,16370,HTTP Request,200,OK,Thread Group 1-7,text,true,,153,589,10,10,http://172.31.82.187:8000/,16370,0,7
1687124341548,14395,HTTP Request,200,OK,Thread Group 1-3,text,true,,153,589,10,10,http://172.31.82.187:8000/,14395,0,2
1687124341973,14791,HTTP Request,200,OK,Thread Group 1-1,text,true,,153,589,10,10,http://172.31.82.187:8000/,14791,0,1
1687124343117,15965,HTTP Request,200,OK,Thread Group 1-6,text,true,,153,589,10,10,http://172.31.82.187:8000/,15964,0,4
1687124343946,16734,HTTP Request,200,OK,Thread Group 1-9,text,true,,153,589,10,10,http://172.31.82.187:8000/,16734,0,1
1687124344652,17451,HTTP Request,200,OK,Thread Group 1-10,text,true,,153,589,10,10,http://172.31.82.187:8000/,17451,0,1
1687124344701,17479,HTTP Request,200,OK,Thread Group 1-4,text,true,,153,589,10,10,http://172.31.82.187:8000/,17479,0,1
1687124344748,17610,HTTP Request,200,OK,Thread Group 1-5,text,true,,153,589,10,10,http://172.31.82.187:8000/,17610,0,1
1687124344771,17614,HTTP Request,200,OK,Thread Group 1-8,text,true,,153,589,10,10,http://172.31.82.187:8000/,17614,0,2
1687124355887,16292,HTTP Request,200,OK,Thread Group 1-7,text,true,,153,589,10,10,http://172.31.82.187:8000/,16292,0,1
1687124355898,16317,HTTP Request,200,OK,Thread Group 1-2,text,true,,153,589,10,10,http://172.31.82.187:8000/,16317,0,1
1687124357944,16395,HTTP Request,200,OK,Thread Group 1-3,text,true,,153,589,10,10,http://172.31.82.187:8000/,16394,0,1
1687124358496,16522,HTTP Request,200,OK,Thread Group 1-1,text,true,,153,589,10,10,http://172.31.82.187:8000/,16522,0,2
1687124358673,15556,HTTP Request,200,OK,Thread Group 1-6,text,true,,153,589,10,10,http://172.31.82.187:8000/,15556,0,2
1687124358735,14788,HTTP Request,200,OK,Thread Group 1-9,text,true,,153,589,10,10,http://172.31.82.187:8000/,14788,0,1
1687124360280,15627,HTTP Request,200,OK,Thread Group 1-10,text,true,,153,589,10,10,http://172.31.82.187:8000/,15627,0,1
